Metadata: {"arch":"arm64","binary_sha256":"15def4fd8ea90eb175440651d6fc08997dc344597a38d5d41759ea5c3657a42b","binary_size":1806448,"console_log":"println","engine":"dmdscript","repository":"https://github.com/DigitalMars/DMDScript.git","revision":"45a0ba2b11162e90de7e96876289c3020ab208f5","revision_date":"2026-03-03","version":"2.1.3"}
compat-table/es6/Array.prototype.find.js: failed
compat-table/es6/Array.prototype.keys.js: failed
compat-table/es6/Array.prototype.splice.js: failed
compat-table/es6/Array.prototype.values.js: failed
compat-table/es6/Date.prototype.Symbol.toPrimitive.js: ReferenceError: Variable 'Symbol' is not defined
compat-table/es6/Function.name.accessor.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): Function.name.accessor.js(10) : Error: found 'foo' when expecting ':'
compat-table/es6/Function.name.bound.js: TypeError: Object function foo()
compat-table/es6/Function.name.class-expression.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): Function.name.class-expression.js(10) : Error: expression expected, not 'class'
compat-table/es6/Function.name.class-object-method.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): Function.name.class-object-method.js(10) : Error: expression expected, not 'class'
compat-table/es6/Function.name.class-prototype.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): Function.name.class-prototype.js(10) : Error: found 'class' instead of statement
compat-table/es6/Function.name.class-statement.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): Function.name.class-statement.js(10) : Error: found 'class' instead of statement
compat-table/es6/Function.name.class-static.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): Function.name.class-static.js(10) : Error: found 'class' instead of statement
compat-table/es6/Function.name.class-variable.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): Function.name.class-variable.js(10) : Error: expression expected, not 'class'
compat-table/es6/Function.name.configurable.js: TypeError: Object function Function() { [native code] }.getOwnPropertyDescriptor is undefined and has no Call method
compat-table/es6/Function.name.expression.js: failed
compat-table/es6/Function.name.new-Function.js: failed
compat-table/es6/Function.name.object-method.js: failed
compat-table/es6/Function.name.shorthand.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): Function.name.shorthand.js(10) : Error: found '(' when expecting ':'
compat-table/es6/Function.name.shorthand.no-lexical.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): Function.name.shorthand.no-lexical.js(11) : Error: found '(' when expecting ':'
compat-table/es6/Function.name.statement.js: failed
compat-table/es6/Function.name.symbol-keyed.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): Function.name.symbol-keyed.js(13) : Error: identifier expected
compat-table/es6/Function.name.variable.js: failed
compat-table/es6/Map.Symbol.species.js: ReferenceError: Variable 'Symbol' is not defined
compat-table/es6/Map.constructor-accepts-null.js: ReferenceError: Variable 'Map' is not defined
compat-table/es6/Map.constructor-arguments.js: ReferenceError: Variable 'Map' is not defined
compat-table/es6/Map.constructor-invokes-set.js: ReferenceError: Variable 'Map' is not defined
compat-table/es6/Map.constructor-requires-new.js: ReferenceError: Variable 'Map' is not defined
compat-table/es6/Map.iterator-closing.js: failed
compat-table/es6/Map.iterator-prototype-chain.js: ReferenceError: Variable 'Map' is not defined
compat-table/es6/Map.js: ReferenceError: Variable 'Map' is not defined
compat-table/es6/Map.prototype-not-instance.js: ReferenceError: Variable 'Map' is not defined
compat-table/es6/Map.prototype.Symbol.iterator.js: ReferenceError: Variable 'Map' is not defined
compat-table/es6/Map.prototype.clear.js: ReferenceError: Variable 'Map' is not defined
compat-table/es6/Map.prototype.delete.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): Map.prototype.delete.js(10) : Error: identifier expected following '.', not 'delete'
compat-table/es6/Map.prototype.entries.js: ReferenceError: Variable 'Map' is not defined
compat-table/es6/Map.prototype.forEach.js: ReferenceError: Variable 'Map' is not defined
compat-table/es6/Map.prototype.keys.js: ReferenceError: Variable 'Map' is not defined
compat-table/es6/Map.prototype.set-returns-this.js: ReferenceError: Variable 'Map' is not defined
compat-table/es6/Map.prototype.size.js: ReferenceError: Variable 'Map' is not defined
compat-table/es6/Map.prototype.values.js: ReferenceError: Variable 'Map' is not defined
compat-table/es6/Map.zero-key.js: ReferenceError: Variable 'Map' is not defined
compat-table/es6/Math.acosh.js: failed
compat-table/es6/Math.asinh.js: failed
compat-table/es6/Math.atanh.js: failed
compat-table/es6/Math.cbrt.js: failed
compat-table/es6/Math.clz32.js: failed
compat-table/es6/Math.cosh.js: failed
compat-table/es6/Math.expm1.js: failed
compat-table/es6/Math.fround.js: failed
compat-table/es6/Math.hypot.js: TypeError: Object [object Math].hypot is undefined and has no Call method
compat-table/es6/Math.imul.js: failed
compat-table/es6/Math.log1p.js: failed
compat-table/es6/Math.log2.js: failed
compat-table/es6/Math.log10.js: failed
compat-table/es6/Math.sign.js: failed
compat-table/es6/Math.sinh.js: failed
compat-table/es6/Math.tanh.js: failed
compat-table/es6/Math.trunc.js: failed
compat-table/es6/Number.EPSILON.js: failed
compat-table/es6/Number.MAX_SAFE_INTEGER.js: failed
compat-table/es6/Number.MIN_SAFE_INTEGER.js: failed
compat-table/es6/Number.isFinite.js: failed
compat-table/es6/Number.isInteger.js: failed
compat-table/es6/Number.isNaN.js: failed
compat-table/es6/Number.isSafeInteger.js: failed
compat-table/es6/Number.parseFloat.js: failed
compat-table/es6/Number.parseInt.js: failed
compat-table/es6/Object.assign.js: TypeError: Object function Function() { [native code] }.assign is undefined and has no Call method
compat-table/es6/Object.getOwnPropertySymbols.js: ReferenceError: Variable 'Symbol' is not defined
compat-table/es6/Object.is.js: failed
compat-table/es6/Object.setPrototypeOf.js: TypeError: Object function Function() { [native code] }.setPrototypeOf is undefined and has no Call method
compat-table/es6/Promise.Symbol.species.js: ReferenceError: Variable 'Symbol' is not defined
compat-table/es6/Promise.all.iterable.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): Promise.all.iterable.js(79) : Error: identifier expected following '.', not 'catch'
compat-table/es6/Promise.all.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): Promise.all.js(55) : Error: identifier expected following '.', not 'catch'
compat-table/es6/Promise.constructor-requires-new.js: ReferenceError: Variable 'Promise' is not defined
compat-table/es6/Promise.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): Promise.js(55) : Error: identifier expected following '.', not 'catch'
compat-table/es6/Promise.prototype-not-instance.js: ReferenceError: Variable 'Promise' is not defined
compat-table/es6/Promise.race.iterable.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): Promise.race.iterable.js(79) : Error: identifier expected following '.', not 'catch'
compat-table/es6/Promise.race.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): Promise.race.js(55) : Error: identifier expected following '.', not 'catch'
compat-table/es6/Proxy.Array.isArray.js: ReferenceError: Variable 'Proxy' is not defined
compat-table/es6/Proxy.JSON.stringify.js: ReferenceError: Variable 'Proxy' is not defined
compat-table/es6/Proxy.constructor-requires-new.js: ReferenceError: Variable 'Proxy' is not defined
compat-table/es6/Proxy.handler.apply.invariants.js: ReferenceError: Variable 'Proxy' is not defined
compat-table/es6/Proxy.handler.apply.js: ReferenceError: Variable 'Proxy' is not defined
compat-table/es6/Proxy.handler.construct.invariants.js: ReferenceError: Variable 'Proxy' is not defined
compat-table/es6/Proxy.handler.construct.js: ReferenceError: Variable 'Proxy' is not defined
compat-table/es6/Proxy.handler.defineProperty.invariants.js: ReferenceError: Variable 'Proxy' is not defined
compat-table/es6/Proxy.handler.defineProperty.js: ReferenceError: Variable 'Proxy' is not defined
compat-table/es6/Proxy.handler.deleteProperty.invariants.js: ReferenceError: Variable 'Proxy' is not defined
compat-table/es6/Proxy.handler.deleteProperty.js: ReferenceError: Variable 'Proxy' is not defined
compat-table/es6/Proxy.handler.getOwnPropertyDescriptor.invariants.js: ReferenceError: Variable 'Proxy' is not defined
compat-table/es6/Proxy.handler.getOwnPropertyDescriptor.js: ReferenceError: Variable 'Proxy' is not defined
compat-table/es6/Proxy.handler.getPrototypeOf.invariants.js: ReferenceError: Variable 'Proxy' is not defined
compat-table/es6/Proxy.handler.getPrototypeOf.js: ReferenceError: Variable 'Proxy' is not defined
compat-table/es6/Proxy.handler.get.instances.js: ReferenceError: Variable 'Proxy' is not defined
compat-table/es6/Proxy.handler.get.invariants.js: ReferenceError: Variable 'Proxy' is not defined
compat-table/es6/Proxy.handler.get.js: ReferenceError: Variable 'Proxy' is not defined
compat-table/es6/Proxy.handler.has.instances.js: ReferenceError: Variable 'Proxy' is not defined
compat-table/es6/Proxy.handler.has.invariants.js: ReferenceError: Variable 'Proxy' is not defined
compat-table/es6/Proxy.handler.has.js: ReferenceError: Variable 'Proxy' is not defined
compat-table/es6/Proxy.handler.isExtensible.invariants.js: ReferenceError: Variable 'Proxy' is not defined
compat-table/es6/Proxy.handler.isExtensible.js: ReferenceError: Variable 'Proxy' is not defined
compat-table/es6/Proxy.handler.ownKeys.invariants.js: ReferenceError: Variable 'Proxy' is not defined
compat-table/es6/Proxy.handler.ownKeys.js: ReferenceError: Variable 'Proxy' is not defined
compat-table/es6/Proxy.handler.preventExtensions.invariants.js: ReferenceError: Variable 'Proxy' is not defined
compat-table/es6/Proxy.handler.preventExtensions.js: ReferenceError: Variable 'Proxy' is not defined
compat-table/es6/Proxy.handler.setPrototypeOf.invariants.js: ReferenceError: Variable 'Proxy' is not defined
compat-table/es6/Proxy.handler.setPrototypeOf.js: ReferenceError: Variable 'Proxy' is not defined
compat-table/es6/Proxy.handler.set.instances.js: ReferenceError: Variable 'Proxy' is not defined
compat-table/es6/Proxy.handler.set.invariants.js: ReferenceError: Variable 'Proxy' is not defined
compat-table/es6/Proxy.handler.set.js: ReferenceError: Variable 'Proxy' is not defined
compat-table/es6/Proxy.no-prototype.js: ReferenceError: Variable 'Proxy' is not defined
compat-table/es6/Proxy.revocable.js: ReferenceError: Variable 'Proxy' is not defined
compat-table/es6/Reflect.apply.js: ReferenceError: Variable 'Reflect' is not defined
compat-table/es6/Reflect.construct.Array-subclassing.js: ReferenceError: Variable 'Reflect' is not defined
compat-table/es6/Reflect.construct.Function-subclassing.js: ReferenceError: Variable 'Reflect' is not defined
compat-table/es6/Reflect.construct.Promise-subclassing.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): Reflect.construct.Promise-subclassing.js(55) : Error: identifier expected following '.', not 'catch'
compat-table/es6/Reflect.construct.RegExp-subclassing.js: ReferenceError: Variable 'Reflect' is not defined
compat-table/es6/Reflect.construct.js: ReferenceError: Variable 'Reflect' is not defined
compat-table/es6/Reflect.construct.new-target.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): Reflect.construct.new-target.js(11) : Error: expression expected, not '.'
compat-table/es6/Reflect.construct.third-argument.js: ReferenceError: Variable 'Reflect' is not defined
compat-table/es6/Reflect.defineProperty.js: ReferenceError: Variable 'Reflect' is not defined
compat-table/es6/Reflect.deleteProperty.js: ReferenceError: Variable 'Reflect' is not defined
compat-table/es6/Reflect.getOwnPropertyDescriptor.js: ReferenceError: Variable 'Reflect' is not defined
compat-table/es6/Reflect.getPrototypeOf.js: ReferenceError: Variable 'Reflect' is not defined
compat-table/es6/Reflect.get.js: ReferenceError: Variable 'Reflect' is not defined
compat-table/es6/Reflect.has.js: ReferenceError: Variable 'Reflect' is not defined
compat-table/es6/Reflect.isExtensible.js: ReferenceError: Variable 'Reflect' is not defined
compat-table/es6/Reflect.ownKeys.string.js: TypeError: Object function Function() { [native code] }.create is undefined and has no Call method
compat-table/es6/Reflect.ownKeys.symbol.js: ReferenceError: Variable 'Symbol' is not defined
compat-table/es6/Reflect.preventExtensions.js: ReferenceError: Variable 'Reflect' is not defined
compat-table/es6/Reflect.setPrototypeOf.js: ReferenceError: Variable 'Reflect' is not defined
compat-table/es6/Reflect.set.js: ReferenceError: Variable 'Reflect' is not defined
compat-table/es6/RegExp.Symbol.species.js: ReferenceError: Variable 'Symbol' is not defined
compat-table/es6/RegExp.prototype.Symbol.match.js: ReferenceError: Variable 'Symbol' is not defined
compat-table/es6/RegExp.prototype.Symbol.replace.js: ReferenceError: Variable 'Symbol' is not defined
compat-table/es6/RegExp.prototype.Symbol.search.js: ReferenceError: Variable 'Symbol' is not defined
compat-table/es6/RegExp.prototype.Symbol.split.js: ReferenceError: Variable 'Symbol' is not defined
compat-table/es6/RegExp.prototype.flags.js: failed
compat-table/es6/Set.Symbol.species.js: ReferenceError: Variable 'Symbol' is not defined
compat-table/es6/Set.constructor-accepts-null.js: ReferenceError: Variable 'Set' is not defined
compat-table/es6/Set.constructor-arguments.js: ReferenceError: Variable 'Set' is not defined
compat-table/es6/Set.constructor-invokes-add.js: ReferenceError: Variable 'Set' is not defined
compat-table/es6/Set.constructor-requires-new.js: ReferenceError: Variable 'Set' is not defined
compat-table/es6/Set.iterator-closing.js: ReferenceError: Variable 'Set' is not defined
compat-table/es6/Set.iterator-prototype-chain.js: ReferenceError: Variable 'Set' is not defined
compat-table/es6/Set.js: ReferenceError: Variable 'Set' is not defined
compat-table/es6/Set.prototype-not-instance.js: ReferenceError: Variable 'Set' is not defined
compat-table/es6/Set.prototype.Symbol.iterator.js: ReferenceError: Variable 'Set' is not defined
compat-table/es6/Set.prototype.add-returns-this.js: ReferenceError: Variable 'Set' is not defined
compat-table/es6/Set.prototype.clear.js: ReferenceError: Variable 'Set' is not defined
compat-table/es6/Set.prototype.delete.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): Set.prototype.delete.js(10) : Error: identifier expected following '.', not 'delete'
compat-table/es6/Set.prototype.entries.js: ReferenceError: Variable 'Set' is not defined
compat-table/es6/Set.prototype.forEach.js: ReferenceError: Variable 'Set' is not defined
compat-table/es6/Set.prototype.keys.js: ReferenceError: Variable 'Set' is not defined
compat-table/es6/Set.prototype.size.js: ReferenceError: Variable 'Set' is not defined
compat-table/es6/Set.prototype.values.js: ReferenceError: Variable 'Set' is not defined
compat-table/es6/Set.zero-key.js: ReferenceError: Variable 'Set' is not defined
compat-table/es6/String.fromCodePoint.js: failed
compat-table/es6/String.iterator-prototype-chain.js: ReferenceError: Variable 'Symbol' is not defined
compat-table/es6/String.prototype.Symbol.iterator.js: ReferenceError: Variable 'Symbol' is not defined
compat-table/es6/String.prototype.codePointAt.js: failed
compat-table/es6/String.prototype.endsWith.js: failed
compat-table/es6/String.prototype.endsWith.throws-regex.js: failed
compat-table/es6/String.prototype.includes.js: failed
compat-table/es6/String.prototype.normalize.js: failed
compat-table/es6/String.prototype.repeat.js: failed
compat-table/es6/String.prototype.startsWith.js: failed
compat-table/es6/String.prototype.startsWith.throws-regex.js: failed
compat-table/es6/String.raw.js: failed
compat-table/es6/Symbol.JSON.stringify.object.js: ReferenceError: Variable 'Symbol' is not defined
compat-table/es6/Symbol.JSON.stringify.primitive.js: ReferenceError: Variable 'Symbol' is not defined
compat-table/es6/Symbol.Object.js: ReferenceError: Variable 'Symbol' is not defined
compat-table/es6/Symbol.String.js: ReferenceError: Variable 'Symbol' is not defined
compat-table/es6/Symbol.defineProperty.js: ReferenceError: Variable 'Symbol' is not defined
compat-table/es6/Symbol.global-registry.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): Symbol.global-registry.js(10) : Error: identifier expected following '.', not 'for'
compat-table/es6/Symbol.hidden-keys.js: ReferenceError: Variable 'Symbol' is not defined
compat-table/es6/Symbol.js: ReferenceError: Variable 'Symbol' is not defined
compat-table/es6/Symbol.no-coerce.js: ReferenceError: Variable 'Symbol' is not defined
compat-table/es6/Symbol.no-new.js: ReferenceError: Variable 'Symbol' is not defined
compat-table/es6/Symbol.prototype.js: ReferenceError: Variable 'Symbol' is not defined
compat-table/es6/Symbol.typeof.js: ReferenceError: Variable 'Symbol' is not defined
compat-table/es6/WeakMap.accept-primitives.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): WeakMap.accept-primitives.js(13) : Error: identifier expected following '.', not 'delete'
compat-table/es6/WeakMap.constructor-accepts-null.js: ReferenceError: Variable 'WeakMap' is not defined
compat-table/es6/WeakMap.constructor-arguments.js: ReferenceError: Variable 'WeakMap' is not defined
compat-table/es6/WeakMap.constructor-invokes-set.js: ReferenceError: Variable 'WeakMap' is not defined
compat-table/es6/WeakMap.constructor-requires-new.js: ReferenceError: Variable 'WeakMap' is not defined
compat-table/es6/WeakMap.frozen-keys.js: TypeError: Object function Function() { [native code] }.freeze is undefined and has no Call method
compat-table/es6/WeakMap.iterator-closing.js: failed
compat-table/es6/WeakMap.js: ReferenceError: Variable 'WeakMap' is not defined
compat-table/es6/WeakMap.no-clear.js: ReferenceError: Variable 'WeakMap' is not defined
compat-table/es6/WeakMap.prototype-not-instance.js: ReferenceError: Variable 'WeakMap' is not defined
compat-table/es6/WeakMap.prototype.delete.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): WeakMap.prototype.delete.js(10) : Error: identifier expected following '.', not 'delete'
compat-table/es6/WeakMap.prototype.set-returns-this.js: ReferenceError: Variable 'WeakMap' is not defined
compat-table/es6/WeakSet.accept-primitives.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): WeakSet.accept-primitives.js(12) : Error: identifier expected following '.', not 'delete'
compat-table/es6/WeakSet.constructor-accepts-null.js: ReferenceError: Variable 'WeakSet' is not defined
compat-table/es6/WeakSet.constructor-arguments.js: ReferenceError: Variable 'WeakSet' is not defined
compat-table/es6/WeakSet.constructor-invokes-add.js: ReferenceError: Variable 'WeakSet' is not defined
compat-table/es6/WeakSet.constructor-requires-new.js: ReferenceError: Variable 'WeakSet' is not defined
compat-table/es6/WeakSet.iterator-closing.js: failed
compat-table/es6/WeakSet.js: ReferenceError: Variable 'WeakSet' is not defined
compat-table/es6/WeakSet.no-clear.js: ReferenceError: Variable 'WeakSet' is not defined
compat-table/es6/WeakSet.prototype-not-instance.js: ReferenceError: Variable 'WeakSet' is not defined
compat-table/es6/WeakSet.prototype.add-returns-this.js: ReferenceError: Variable 'WeakSet' is not defined
compat-table/es6/WeakSet.prototype.delete.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): WeakSet.prototype.delete.js(10) : Error: identifier expected following '.', not 'delete'
compat-table/es6/annex-b.RegExp.prototype.compile.js: OK
compat-table/es6/annex-b.RegExp.prototype.compile.returns-this.js: failed
compat-table/es6/annex-b.String.prototype.html.existence.js: OK
compat-table/es6/annex-b.String.prototype.html.lowercase.js: failed
compat-table/es6/annex-b.String.prototype.html.quotes-escaped.js: failed
compat-table/es6/annex-b.function.hoisted-block-level.js: failed
compat-table/es6/annex-b.function.if-statement.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): annex-b.function.if-statement.js(12) : Error: found 'function' instead of statement
compat-table/es6/annex-b.function.labeled.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): annex-b.function.labeled.js(12) : Error: found 'function' instead of statement
compat-table/es6/annex-b.html-comments.js: crash: SIGTRAP
compat-table/es6/annex-b.regex.backreferences-octal.js: failed: undead.regexp.RegExpException@/root/.dub/packages/undead/1.2.0/undead/src/undead/regexp.d(170): no matching back reference
compat-table/es6/annex-b.regex.hyphens.js: failed: undead.regexp.RegExpException@/root/.dub/packages/undead/1.2.0/undead/src/undead/regexp.d(170): inverted range in character class
compat-table/es6/annex-b.regex.incomplete-patterns.js: failed: undead.regexp.RegExpException@/root/.dub/packages/undead/1.2.0/undead/src/undead/regexp.d(170): badly formed {n,m}
compat-table/es6/annex-b.regex.invalid-char-escapes.js: OK
compat-table/es6/annex-b.regex.invalid-control-escapes.js: failed: undead.regexp.RegExpException@/root/.dub/packages/undead/1.2.0/undead/src/undead/regexp.d(170): letter expected following \c
compat-table/es6/annex-b.regex.invalid-hex-escapes.js: TypeError: cannot convert Null to Object
compat-table/es6/annex-b.regex.invalid-unicode-escapes.js: TypeError: cannot convert Null to Object
compat-table/es6/annex-b.regex.octal-escapes.js: OK
compat-table/es6/annex-b.__proto__.Object.prototype.absent-from-null.js: TypeError: Object function Function() { [native code] }.create is undefined and has no Call method
compat-table/es6/annex-b.__proto__.Object.prototype.descriptor.js: TypeError: Object function Function() { [native code] }.getOwnPropertyDescriptor is undefined and has no Call method
compat-table/es6/annex-b.__proto__.Object.prototype.getOwnPropertyNames.js: TypeError: Object function Function() { [native code] }.getOwnPropertyNames is undefined and has no Call method
compat-table/es6/annex-b.__proto__.Object.prototype.get.js: failed
compat-table/es6/annex-b.__proto__.Object.prototype.hasOwnProperty.js: failed
compat-table/es6/annex-b.__proto__.Object.prototype.set.js: failed
compat-table/es6/annex-b.__proto__.literals.js: failed
compat-table/es6/annex-b.__proto__.literals.multiple-error.js: failed
compat-table/es6/annex-b.__proto__.literals.not-computed.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): annex-b.__proto__.literals.not-computed.js(14) : Error: identifier expected
compat-table/es6/annex-b.__proto__.literals.not-shorthand-method.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): annex-b.__proto__.literals.not-shorthand-method.js(13) : Error: found '(' when expecting ':'
compat-table/es6/annex-b.__proto__.literals.not-shorthand-property.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): annex-b.__proto__.literals.not-shorthand-property.js(14) : Error: found '}' when expecting ':'
compat-table/es6/arrow.0-params.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): arrow.0-params.js(10) : Error: expression expected, not ''
compat-table/es6/arrow.1-param.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): arrow.1-param.js(10) : Error: expression expected, not '>'
compat-table/es6/arrow.5-param.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): arrow.5-param.js(10) : Error: expression expected, not '>'
compat-table/es6/arrow.bind.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): arrow.bind.js(10) : Error: expression expected, not '>'
compat-table/es6/arrow.lexical-arguments.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): arrow.lexical-arguments.js(10) : Error: expression expected, not '>'
compat-table/es6/arrow.lexical-super.constructor.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): arrow.lexical-super.constructor.js(12) : Error: found 'class' instead of statement
compat-table/es6/arrow.lexical-super.methods.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): arrow.lexical-super.methods.js(10) : Error: found 'class' instead of statement
compat-table/es6/arrow.lexical-this.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): arrow.lexical-this.js(10) : Error: expression expected, not '>'
compat-table/es6/arrow.new-target.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): arrow.new-target.js(11) : Error: expression expected, not '>'
compat-table/es6/arrow.no-line-break.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): arrow.no-line-break.js(10) : Error: expression expected, not ''
compat-table/es6/arrow.no-prototype.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): arrow.no-prototype.js(10) : Error: expression expected, not ''
compat-table/es6/arrow.precedence.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): arrow.precedence.js(10) : Error: expression expected, not ''
compat-table/es6/arrow.this-call-apply.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): arrow.this-call-apply.js(10) : Error: expression expected, not ''
compat-table/es6/class.accessor-properties.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): class.accessor-properties.js(11) : Error: found 'class' instead of statement
compat-table/es6/class.anonymous.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): class.anonymous.js(10) : Error: expression expected, not 'class'
compat-table/es6/class.block-scoped.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): class.block-scoped.js(10) : Error: found 'class' instead of statement
compat-table/es6/class.computed-accessor-properties.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): class.computed-accessor-properties.js(11) : Error: found 'class' instead of statement
compat-table/es6/class.computed-names-tdz.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): class.computed-names-tdz.js(11) : Error: expression expected, not 'class'
compat-table/es6/class.computed-prototype-methods.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): class.computed-prototype-methods.js(11) : Error: found 'class' instead of statement
compat-table/es6/class.computed-static-accessor-properties.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): class.computed-static-accessor-properties.js(11) : Error: found 'class' instead of statement
compat-table/es6/class.computed-static-methods.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): class.computed-static-methods.js(11) : Error: found 'class' instead of statement
compat-table/es6/class.constructor-requires-new.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): class.constructor-requires-new.js(10) : Error: found 'class' instead of statement
compat-table/es6/class.constructor.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): class.constructor.js(10) : Error: found 'class' instead of statement
compat-table/es6/class.expression.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): class.expression.js(10) : Error: expression expected, not 'class'
compat-table/es6/class.extends-expressions.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): class.extends-expressions.js(11) : Error: found 'class' instead of statement
compat-table/es6/class.extends-null.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): class.extends-null.js(10) : Error: found 'class' instead of statement
compat-table/es6/class.extends.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): class.extends.js(10) : Error: found 'class' instead of statement
compat-table/es6/class.implicit-strict.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): class.implicit-strict.js(10) : Error: found 'class' instead of statement
compat-table/es6/class.lexical-name.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): class.lexical-name.js(10) : Error: found 'class' instead of statement
compat-table/es6/class.methods-not-enumerable.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): class.methods-not-enumerable.js(10) : Error: found 'class' instead of statement
compat-table/es6/class.new-target.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): class.new-target.js(12) : Error: expression expected, not '.'
compat-table/es6/class.optional-semicolons.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): class.optional-semicolons.js(10) : Error: found 'class' instead of statement
compat-table/es6/class.prototype-methods.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): class.prototype-methods.js(10) : Error: found 'class' instead of statement
compat-table/es6/class.statement.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): class.statement.js(10) : Error: found 'class' instead of statement
compat-table/es6/class.static-accessor-properties.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): class.static-accessor-properties.js(11) : Error: found 'class' instead of statement
compat-table/es6/class.static-methods.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): class.static-methods.js(10) : Error: found 'class' instead of statement
compat-table/es6/class.string-keyed-methods.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): class.string-keyed-methods.js(10) : Error: found 'class' instead of statement
compat-table/es6/const.basic.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): const.basic.js(10) : Error: found 'const' instead of statement
compat-table/es6/const.block-scoped.js: failed: dmdscript.script.ScriptException@engine/source/dmdscript/script.d(66): const.block-scoped.js(10) : Error: found 'const' instead of statement
